name,prc_pct,tdy_price,avg_price,qty_pct,tdy_qty,avg_qty
CPNREIT,0.22,19.5,19.457142857142856,77.0,1587721,897026
MCS,-0.41,10.3,10.342857142857143,11.87,1858947,1661651
PTTGC,-0.53,47.0,47.25,12.85,13767223,12199497
IVL,-0.56,44.5,44.75,20.45,27662439,22964982
TPIPL,-0.84,1.68,1.6942857142857142,17.74,19038475,16170347
TMT,-1.48,8.1,8.221428571428572,59.62,446710,279860
KCE,-1.52,55.5,56.357142857142854,25.56,11809512,9405723
GVREIT,-2.17,9.0,9.200000000000001,84.58,458500,248406
BCH,-2.91,18.6,19.157142857142855,5.01,29857477,28433945
ORI,-3.02,10.1,10.414285714285715,74.51,7184730,4117036
DOHOME,-6.83,15.2,16.314285714285713,34.63,22677889,16844262
