trans,name,qty,target,active,spd,current,change,percent,reason,market,xdate
Buy,BCH,3000,20.1,2,-3,20.4,-0.2,-0.97%,RD05pct,SET100,2022-05-10
Buy,MAKRO,1500,39.0,2,-4,40.0,0.25,+0.63%,RD05pct,SET,2022-03-03
Buy,ORI,15000,11.0,2,-3,11.3,-0.1,-0.88%,3L,SET100,2022-05-09
Buy,SC,30000,3.7,2,-7,3.84,0.04,+1.05%,HD,SET,2022-04-29
Buy,SCC,300,378.0,2,-5,383.0,0.0,0.00%,RD05pct,SET50,2022-04-07
Buy,SENA,15000,4.8,2,-4,4.88,0.0,0.00%,ROUND,SET,2022-05-10
Sell,AIMIRT,10000,13.1,2,2,12.9,0.0,0.00%,DOS,SET,2022-03-14
Sell,CPNCG,20000,12.5,2,3,12.2,0.1,+0.83%,DOS,SET,2022-02-14
Sell,PTT,3000,39.0,2,1,38.75,0.25,+0.65%,CP2S,SET50,2022-03-03
Sell,STA,2500,28.0,2,6,26.5,0.25,+0.95%,CUT,SET100,2022-04-19
