BCH,753093,917057,1089465,1134907,1229405,1229405
BGRIM,0,2126710,1862806,2331153,2174759,2331153
CKP,55055,158773,599068,768902,404714,768902
DCC,1421723,1116867,978755,972791,1585345,1585345
DIF,18867071,11115912,9854546,20992136,13424031,20992136
DOHOME,0,0,0,725511,726680,726680
EPG,1380978,990961,904318,1002796,1218890,1380978
GLOBAL,1494972,1608567,2003039,2093471,1955963,2093471
HREIT,0,-531737,650124,756360,609075,756360
IMH,0,0,0,10499,-16607,10499
IP,0,0,0,43472,53776,53776
IVL,16197103,20882861,26465403,5252109,2414276,26465403
JASIF,5454650,7148093,5099288,10716557,9100688,10716557
KBANK,40174100,34338246,38459116,38726742,29487117,40174100
KCE,3038747,2544502,2014872,934492,1126787,3038747
MCS,1229262,499036,416932,608539,954078,1229262
NER,0,0,486456,538880,858677,858677
NOBLE,682198,2043672,986978,3071218,1878303,3071218
PTT,94609078,135179603,119683943,92950604,37765808,135179603
PTTGC,25601633,39298310,40069490,11682080,199607,40069490
RATCH,6165722,6106700,5587602,5963281,6286678,6286678
RCL,0,0,0,-491747,1744794,1744794
RJH,154644,231241,254537,359886,412494,412494
SAT,607558,811241,915597,894640,371202,915597
SCC,56084194,55041247,44748337,32014283,34143870,56084194
SIS,227445,296802,467856,423390,597497,597497
STA,-757986,-1437051,2064358,-148536,9531213,9531213
TISCO,5005402,6090011,7015685,7270228,6063483,7270228
TMT,908950,641038,405883,229946,537878,908950
TOP,21221911,24856199,10149038,6276682,-3301407,24856199
TSTH,214477,454561,-188181,47878,630549,630549
TU,5254432,6020737,3256211,3815877,6246090,6246090
TYCN,70156,188290,-35467,-997683,-321049,188290
VNT,1123703,2248325,3059411,3635428,2172741,3635428
All,94609078,135179603,119683943,92950604,37765808,135179603
