name,spd,target,bl,qty,fm_price,to_price,ttl,min,min52,css_price,status,amount,fm_date,to_date,days
ASP,-1,3.8,0,30000,3.88,3.82,-3,-0.52,2.12,4.4,O,114000.0,2022-02-04,2022-02-08,2
TQM,-1,46.0,6,4500,48.25,46.25,-8,-3.63,44.5,104.7,O,207000.0,2022-01-31,2022-02-08,6
SINGER,-5,45.0,4,4500,48.0,46.25,-7,-2.08,28.25,56.56,O,202500.0,2022-02-01,2022-02-08,5
BGC,-6,10.0,0,10000,10.4,10.6,2,0.96,9.2,13.3,O,100000.0,2022-01-27,2022-02-08,8
ROJNA,-6,6.3,0,18000,6.55,6.6,1,0.76,4.52,8.05,O,113400.0,2022-02-04,2022-02-08,2
STA,-6,30.25,3,2500,32.0,31.75,-1,31.5,28.0,37.3,B,75625.0,2022-02-07,2022-02-08,1
KKP,-7,68.0,0,3000,70.0,69.75,-1,69.5,49.75,78.08,O,204000.0,2022-02-07,2022-02-08,1
MEGA,-7,44.0,1,4500,45.25,45.75,2,45.25,32.25,57.21,O,198000.0,2022-02-07,2022-02-08,1
TVO,-7,30.0,0,3600,31.5,31.75,1,31.25,29.5,32.53,O,108000.0,2022-02-07,2022-02-08,1
RCL,-8,41.5,0,1500,42.25,43.5,5,2.37,18.2,39.5,B,62250.0,2022-02-04,2022-02-08,2
SYNEX,-8,26.5,1,3000,28.75,28.5,-1,27.75,16.5,31.87,B,79500.0,2022-02-07,2022-02-08,1
EPG,-9,9.9,0,6000,10.3,10.7,4,1.94,8.1,15.36,B,59400.0,2022-02-04,2022-02-08,2
NOBLE,-9,5.85,0,21000,6.25,6.3,1,0.8,5.9,6.71,B,122849.99999999999,2022-02-04,2022-02-08,2
RATCH,-10,42.75,0,3000,44.75,45.25,2,0.56,42.0,0.0,B,128250.0,2022-02-04,2022-02-08,2
GLOBAL,-11,18.2,0,7500,19.0,19.3,3,0.53,18.4,26.43,B,136500.0,2022-02-04,2022-02-08,2
PTTGC,-13,54.25,3,1200,57.75,57.5,-1,57.0,54.25,69.5,B,65100.0,2022-02-07,2022-02-08,1
SCC,-13,374.0,0,300,382.0,387.0,5,382.0,364.0,472.0,B,112200.0,2022-02-07,2022-02-08,1
PTT,-15,36.5,9,3000,38.75,40.25,6,3.23,34.0,45.83,B,109500.0,2022-02-01,2022-02-08,5
PTTEP,-16,126.0,0,1000,127.0,134.0,14,3.15,100.5,145.6,O,126000.0,2022-02-02,2022-02-08,4
SPALI,-16,21.6,0,9000,22.5,23.2,7,0.44,19.0,25.68,O,194400.0,2022-02-03,2022-02-08,3
