name,sts,fm_date,days,fm_price,to_price,chg,chg%,up%,ttl%,target,min_price,buy,hold,sell
RCL,B,2022-01-18,7,49.25,38.75,-10.5,-21,49,28,58.0,42.5,1,0,0
SCC,B,2022-01-12,13,390.0,378.0,-12.0,-3,28,25,484.0,376.0,13,1,0
PTTGC,B,2022-01-19,6,58.25,56.75,-1.5,-2,26,24,71.85,56.5,6,4,0
TOP,B,2022-01-20,5,53.5,50.75,-2.75,-5,28,23,65.44,52.0,10,1,0
PTT,B,2022-01-20,5,39.5,38.25,-1.25,-3,24,21,47.51,38.25,8,0,0
STA,B,2022-01-13,12,31.75,29.0,-2.75,-8,28,20,37.17,28.5,2,1,0
NOBLE,B,2022-01-19,6,6.35,6.15,-0.2,-3,9,6,6.71,6.25,1,1,0
SYNEX,B,2022-01-13,12,37.0,31.25,-5.75,-15,1,-14,31.87,29.25,4,1,2
RATCH,B,2022-01-19,6,44.5,44.75,0.25,0,-100,-100,0.0,43.75,0,0,0
ROJNA,O,2022-01-19,6,6.6,6.4,-0.2,-3,25,22,8.0,6.4,1,0,0
BGC,O,2022-01-14,11,10.5,10.5,0.0,0,19,19,12.57,10.5,2,0,0
SCB,O,2022-01-20,5,124.0,123.5,-0.5,0,11,11,137.1,122.5,10,3,0
KTC,O,2022-01-18,7,59.25,60.0,0.75,1,3,4,62.13,58.25,5,1,2
TVO,O,2022-01-20,5,31.5,31.5,0.0,0,3,3,32.53,31.5,0,4,0
