,name,shares,unit_cost,cost_amt,mkt_price,market_amt,dividend,div_amt,cost_pct,mkt_pct,profit,pft_pct,period
2,KCE,12000,74.0,888000.0,64.25,771000.0,1.6,19200.0,2.16,2.49,-117000.0,-13.18,1
14,PTTGC,12000,58.75,705000.0,50.5,606000.0,3.75,45000.0,6.38,7.43,-99000.0,-14.04,1
0,STA,22500,33.75,759375.0,28.0,630000.0,1.9,42750.0,5.63,6.79,-129375.0,-17.04,1
23,CPNCG,20000,12.4,248000.0,12.3,246000.0,0.9587,19174.0,7.73,7.79,-2000.0,-0.81,2
4,DIF,50000,14.7,735000.0,14.0,700000.0,1.044,52200.0,7.1,7.46,-35000.0,-4.76,2
15,HREIT,40100,8.95,358895.0,8.7,348870.0,0.6952,27877.52,7.77,7.99,-10025.0,-2.79,2
11,JASIF,110000,10.1,1111000.0,10.8,1188000.0,0.95,104500.0,9.41,8.8,77000.0,6.93,2
3,MCS,50000,16.7,835000.0,14.2,710000.0,1.27,63500.0,7.6,8.94,-125000.0,-14.97,2
18,SCCC,1200,171.0,205200.0,156.5,187800.0,9.9999,11999.88,5.85,6.39,-17400.0,-8.48,2
13,TISCO,4000,97.75,391000.0,100.0,400000.0,7.15,28600.0,7.31,7.15,9000.0,2.3,2
5,TMT,27000,10.5,283500.0,11.2,302400.0,1.3,35100.0,12.38,11.61,18900.0,6.67,2
28,IP,7500,20.2,151500.0,19.1,143250.0,0.0,0.0,0.0,0.0,-8250.0,-5.45,3
6,MAKRO,3000,42.0,126000.0,41.5,124500.0,0.72,2160.0,1.71,1.73,-1500.0,-1.19,3
20,NER,27000,7.45,201150.0,7.15,193050.0,0.43,11610.0,5.77,6.01,-8100.0,-4.03,3
1,RATCH,6000,45.75,274500.0,44.5,267000.0,3.35,20100.0,7.32,7.53,-7500.0,-2.73,3
26,RCL,9000,46.25,416250.0,51.25,461250.0,6.0,54000.0,12.97,11.71,45000.0,10.81,3
9,SINGER,3000,42.25,126750.0,49.0,147000.0,0.69,2070.0,1.63,1.41,20250.0,15.98,3
17,SPALI,9000,22.0,198000.0,22.2,199800.0,1.25,11250.0,5.68,5.63,1800.0,0.91,3
24,SYNEX,15000,28.5,427500.0,27.0,405000.0,0.7,10500.0,2.46,2.59,-22500.0,-5.26,3
22,AIMIRT,10000,13.0,130000.0,12.9,129000.0,0.8822,8822.0,6.79,6.84,-1000.0,-0.77,4
12,ASP,30000,3.8,114000.0,3.48,104400.0,0.4,12000.0,10.53,11.49,-9600.0,-8.42,4
8,BCH,15000,21.3,319500.0,21.0,315000.0,1.2,18000.0,5.63,5.71,-4500.0,-1.41,4
10,DOHOME,9600,20.25,194400.0,22.0,211200.0,0.0,0.0,0.0,0.0,16800.0,8.64,4
19,PTT,9000,38.5,346500.0,39.25,353250.0,2.0,18000.0,5.19,5.1,6750.0,1.95,4
27,RJH,4500,33.0,148500.0,32.25,145125.0,2.5,11250.0,7.58,7.75,-3375.0,-2.27,4
25,SCC,900,398.0,358200.0,385.0,346500.0,9.9999,8999.91,2.51,2.6,-11700.0,-3.27,4
16,SIS,4500,40.5,182250.0,38.0,171000.0,1.2,5400.0,2.96,3.16,-11250.0,-6.17,4
21,TPIPL,60000,1.7,102000.0,1.65,99000.0,0.09,5400.0,5.29,5.45,-3000.0,-2.94,4
7,WHART,20000,12.3,246000.0,11.7,234000.0,0.7578,15156.0,6.16,6.48,-12000.0,-4.88,4
