name,year,quarter,published,market
VIBHA,2021,4,"Fri, 25 Feb 2022 21:54:15 +0700",SETWB
SUPER,2021,4,"Fri, 25 Feb 2022 21:51:25 +0700",SET100 / SETCLMV
DUSIT,2021,4,"Fri, 25 Feb 2022 21:42:59 +0700",SET
TCAP,2021,4,"Fri, 25 Feb 2022 21:42:22 +0700",SET100 / SETHD
HFT,2021,4,"Fri, 25 Feb 2022 20:24:22 +0700",sSET
ALUCON,2021,4,"Fri, 25 Feb 2022 19:59:26 +0700",SET
HANA,2021,4,"Fri, 25 Feb 2022 19:47:50 +0700",SET100 / SETTHSI
TVO,2021,4,"Fri, 25 Feb 2022 19:44:44 +0700",SET100 / SETHD / SETTHSI / SETWB
AMC,2021,4,"Fri, 25 Feb 2022 19:42:59 +0700",SET
AJ,2021,4,"Fri, 25 Feb 2022 19:40:18 +0700",sSET / SETCLMV
BAM,2021,4,"Fri, 25 Feb 2022 19:23:03 +0700",SET100
CPNCG,2021,4,"Fri, 25 Feb 2022 19:10:02 +0700",SET
CRC,2021,4,"Fri, 25 Feb 2022 19:08:28 +0700",SET50 / SETCLMV / SETTHSI / SETWB
DDD,2021,4,"Fri, 25 Feb 2022 19:06:14 +0700",sSET
SENA,2021,4,"Fri, 25 Feb 2022 19:06:02 +0700",sSET
WHART,2021,4,"Fri, 25 Feb 2022 18:56:56 +0700",SET
POPF,2021,4,"Fri, 25 Feb 2022 18:55:02 +0700",SET
MINT,2021,4,"Fri, 25 Feb 2022 18:52:12 +0700",SET50 / SETCLMV / SETTHSI / SETWB
DIF,2021,4,"Fri, 25 Feb 2022 18:46:48 +0700",SET
DEMCO,2021,4,"Fri, 25 Feb 2022 18:38:40 +0700",sSET
EASTW,2021,4,"Fri, 25 Feb 2022 18:30:34 +0700",SETTHSI
CPF,2021,4,"Fri, 25 Feb 2022 18:28:45 +0700",SET50 / SETCLMV / SETHD / SETTHSI / SETWB
GRAMMY,2021,4,"Fri, 25 Feb 2022 18:14:24 +0700",SET
BLA,2021,4,"Fri, 25 Feb 2022 18:07:18 +0700",SET100 / SETTHSI
ROJNA,2021,4,"Fri, 25 Feb 2022 18:04:54 +0700",sSET
SFLEX,2021,4,"Fri, 25 Feb 2022 18:00:48 +0700",sSET
ILM,2021,4,"Fri, 25 Feb 2022 17:32:49 +0700",sSET
CCET,2021,4,"Fri, 25 Feb 2022 17:30:43 +0700",sSET
ASP,2021,4,"Fri, 25 Feb 2022 17:26:41 +0700",sSET
UVAN,2021,4,"Fri, 25 Feb 2022 17:22:20 +0700",sSET
LHFG,2021,4,"Fri, 25 Feb 2022 17:20:59 +0700",SET
WACOAL,2021,4,"Fri, 25 Feb 2022 17:16:12 +0700",SET
KTB,2021,4,"Fri, 25 Feb 2022 17:09:25 +0700",SET50 / SETHD / SETTHSI
BKI,2021,4,"Fri, 25 Feb 2022 17:08:35 +0700",SET
UOBKH,2021,4,"Fri, 25 Feb 2022 17:06:24 +0700",SET
APURE,2021,4,"Fri, 25 Feb 2022 17:04:58 +0700",sSET
LST,2021,4,"Fri, 25 Feb 2022 17:04:11 +0700",sSET
SVOA,2021,4,"Fri, 25 Feb 2022 17:03:47 +0700",SET
MTI,2021,4,"Fri, 25 Feb 2022 17:01:24 +0700",sSET
HTC,2021,4,"Fri, 25 Feb 2022 13:20:26 +0700",sSET / SETTHSI
PERM,2021,4,"Fri, 25 Feb 2022 12:44:44 +0700",SET
RCL,2021,4,"Fri, 25 Feb 2022 12:44:17 +0700",SET100 / SETCLMV
FSMART,2021,4,"Fri, 25 Feb 2022 12:42:07 +0700",mai
PRM,2021,4,"Fri, 25 Feb 2022 12:33:24 +0700",sSET
IHL,2021,4,"Fri, 25 Feb 2022 09:07:35 +0700",SET
AKR,2021,4,"Fri, 25 Feb 2022 08:58:57 +0700",SET
SPCG,2021,4,"Fri, 25 Feb 2022 08:45:21 +0700",SET
PLANB,2021,4,"Fri, 25 Feb 2022 08:38:08 +0700",SET100 / SETTHSI
TQM,2021,4,"Fri, 25 Feb 2022 08:28:47 +0700",SET100 / SETTHSI
UAC,2021,4,"Fri, 25 Feb 2022 08:22:27 +0700",sSET
SIS,2021,4,"Fri, 25 Feb 2022 08:13:25 +0700",sSET
TKS,2021,4,"Fri, 25 Feb 2022 08:10:49 +0700",sSET
IP,2021,4,"Fri, 25 Feb 2022 08:09:24 +0700",mai
2S,2021,4,"Fri, 25 Feb 2022 08:04:34 +0700",SET
BEAUTY,2021,4,"Fri, 25 Feb 2022 07:52:54 +0700",SET
PTG,2021,4,"Fri, 25 Feb 2022 07:38:53 +0700",SET100 / SETHD / SETTHSI
CHG,2021,4,"Fri, 25 Feb 2022 07:26:36 +0700",SET100 / SETWB
BGRIM,2021,4,"Fri, 25 Feb 2022 07:00:55 +0700",SET50 / SETCLMV / SETTHSI
SQ,2021,4,"Fri, 25 Feb 2022 06:48:24 +0700",SET
