,name,yield,price,target,upside,buy,hold,sell,score,mrkt,sector,subsector,volume,beta
5,BTSGIF,12.3,4.14,6.33,53,4,1,0,13,SET999,Services,Transportation & Logistics,11.01,0.5
0,BANPU,7.6,10.9,15.15,39,5,1,0,16,SET50,Resources,Energy & Utilities,973.56,0.99
6,SAT,7.3,21.4,27.4,28,10,0,1,27,SET999,Industrials,Automotive,74.75,0.69
2,STA,7.2,30.25,37.35,23,4,2,0,14,SET100,Agro & Food Industry,Agribusiness,219.94,0.09
7,DCC,6.4,3.02,3.48,15,5,0,0,15,SET999,Property & Construction,Construction Materials,47.62,0.63
8,NER,6.3,7.3,10.1,38,6,0,0,18,SET999,Agro & Food Industry,Agribusiness,105.41,0.52
9,MC,5.8,9.9,11.75,19,8,0,0,24,SET999,Services,Commerce,10.79,0.75
3,TQM,5.6,45.5,91.94,102,4,0,0,12,SET100,Financials,Insurance,88.61,0.62
1,PTTGC,5.2,55.0,67.65,23,7,10,0,31,SET50,Industrials,Petrochemicals & Chemicals,1123.6,1.14
4,SPRC,5.2,9.0,11.08,23,7,2,1,20,SET100,Resources,Energy & Utilities,396.66,1.21
