name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
ACE,2022-05-11,2.88,2.90,2.90,2.82,2.86,7178934,20472.68,0.50,3.74,2.02,-0.02,-0.69%
ADVANC,2022-05-11,213.00,214.00,217.00,212.00,214.00,8235224,1763131.76,1.00,276.00,149.50,+1.00,+0.47%
AEONTS,2022-05-11,184.50,185.50,185.50,183.00,184.50,242829,44647.06,1.00,239.00,129.50,0.00,0.00%
AH,2022-05-11,21.90,22.00,22.10,21.70,21.80,389902,8535.12,1.00,28.25,15.40,-0.10,-0.46%
AIE,2022-05-11,3.94,3.94,3.96,3.88,3.88,1080750,4219.04,1.00,5.10,2.76,-0.06,-1.52%
AIMIRT,2022-05-11,12.40,12.40,12.50,12.40,12.40,72900,904.85,10.00,16.10,8.70,0.00,0.00%
AIT,2022-05-11,6.65,6.65,6.70,6.55,6.60,3604664,23826.05,1.00,8.60,4.66,-0.05,-0.75%
AJ,2022-05-11,16.30,16.40,16.40,16.00,16.10,168188,2708.42,1.00,21.10,11.50,-0.20,-1.23%
ALUCON,2022-05-11,195.00,-,-,-,-,3,0.59,10.00,253.00,136.50,-,-
AMATA,2022-05-11,19.00,19.00,19.00,18.70,18.80,4534134,85376.26,1.00,24.70,13.30,-0.20,-1.05%
ANAN,2022-05-11,1.19,1.19,1.19,1.15,1.16,9371375,10892.17,0.10,1.54,0.84,-0.03,-2.52%
AOT,2022-05-11,67.00,66.75,67.00,65.75,66.50,45771198,3030223.82,1.00,87.00,47.00,-0.50,-0.75%
AP,2022-05-11,10.60,10.60,10.60,10.20,10.50,23899447,247904.76,1.00,13.70,7.45,-0.10,-0.94%
ASIAN,2022-05-11,16.60,16.60,17.00,16.40,16.40,15465306,258015.14,1.00,21.50,11.70,-0.20,-1.20%
ASK,2022-05-11,40.50,40.50,40.50,39.25,39.75,1017222,40345.34,5.00,52.50,28.50,-0.75,-1.85%
ASP,2022-05-11,3.18,3.18,3.20,3.14,3.14,4912836,15591.38,1.00,4.12,2.24,-0.04,-1.26%
ASW,2022-05-11,8.05,8.05,8.15,8.00,8.05,1434149,11547.25,1.00,10.40,5.65,0.00,0.00%
AWC,2022-05-11,4.82,4.82,4.86,4.76,4.84,32581523,156816.48,1.00,6.25,3.38,+0.02,+0.41%
BA,2022-05-11,10.60,10.70,10.80,10.30,10.40,4168745,43413.10,1.00,13.70,7.45,-0.20,-1.89%
BAM,2022-05-11,18.30,18.40,18.40,18.00,18.20,15414143,280313.67,5.00,23.70,12.90,-0.10,-0.55%
BANPU,2022-05-11,12.10,12.30,12.30,11.60,11.80,319018715,3792489.78,1.00,15.70,8.50,-0.30,-2.48%
BAY,2022-05-11,33.50,33.75,33.75,33.00,33.75,399360,13330.47,10.00,43.50,23.50,+0.25,+0.75%
BBL,2022-05-11,129.00,129.00,129.00,126.00,127.50,8587415,1093019.53,10.00,167.50,90.50,-1.50,-1.16%
BCH,2022-05-11,19.60,19.60,19.70,19.10,19.20,21484812,416495.53,1.00,25.25,13.80,-0.40,-2.04%
BCP,2022-05-11,34.75,34.50,34.50,33.75,34.25,7972330,272432.18,1.00,45.00,24.40,-0.50,-1.44%
BCPG,2022-05-11,11.80,11.90,11.90,11.60,11.70,5560196,65155.14,5.00,15.30,8.30,-0.10,-0.85%
BCT,2022-05-11,49.25,49.25,49.50,49.00,49.50,1700,83.95,1.00,64.00,34.50,+0.25,+0.51%
BDMS,2022-05-11,25.25,25.25,25.25,24.90,25.00,45429461,1136169.96,0.10,32.75,17.70,-0.25,-0.99%
BEAUTY,2022-05-11,1.37,1.38,1.39,1.35,1.37,3170779,4323.58,0.10,1.78,0.96,0.00,0.00%
BEC,2022-05-11,15.40,15.40,15.50,15.10,15.20,3328919,50879.02,1.00,20.00,10.80,-0.20,-1.30%
BEM,2022-05-11,8.20,8.30,8.30,8.15,8.25,62579478,515126.51,1.00,10.60,5.75,+0.05,+0.61%
BFIT,2022-05-11,32.50,32.50,32.50,30.25,30.50,4980220,154631.52,5.00,42.25,22.80,-2.00,-6.15%
BGC,2022-05-11,9.95,9.95,9.95,9.90,9.90,228720,2271.05,5.00,12.90,7.00,-0.05,-0.50%
BGRIM,2022-05-11,31.25,31.25,31.75,31.00,31.50,8968115,282319.76,2.00,40.50,21.90,+0.25,+0.80%
BH,2022-05-11,162.00,161.50,166.00,161.00,165.00,4808894,791167.30,1.00,210.00,113.50,+3.00,+1.85%
BJC,2022-05-11,36.00,36.00,36.50,35.50,36.00,6025893,217418.98,1.00,46.75,25.25,0.00,0.00%
BKI,2022-05-11,272.00,272.00,273.00,270.00,271.00,13367,3627.53,10.00,353.00,190.50,-1.00,-0.37%
BLA,2022-05-11,43.00,42.50,42.75,42.00,42.50,1776170,75290.87,1.00,55.75,30.25,-0.50,-1.16%
BLAND,2022-05-11,0.98,0.98,0.98,0.96,0.97,6415928,6188.58,1.00,1.27,0.69,-0.01,-1.02%
BPP,2022-05-11,16.10,16.30,16.50,16.10,16.20,3279902,53487.28,10.00,20.90,11.30,+0.10,+0.62%
BTS,2022-05-11,8.90,8.90,8.95,8.75,8.85,25224185,222610.30,4.00,11.50,6.25,-0.05,-0.56%
BTSGIF,2022-05-11,4.30,4.30,4.34,4.28,4.32,3200310,13789.55,9.55,5.55,3.02,+0.02,+0.47%
CBG,2022-05-11,103.00,103.00,104.00,102.00,102.50,4685845,481223.75,1.00,133.50,72.25,-0.50,-0.49%
CENTEL,2022-05-11,42.75,42.75,42.75,41.75,42.25,2581363,108701.63,1.00,55.50,30.00,-0.50,-1.17%
CHG,2022-05-11,3.64,3.64,3.72,3.60,3.66,88581796,325429.00,0.10,4.72,2.56,+0.02,+0.55%
CK,2022-05-11,18.80,18.80,19.00,18.40,18.40,6149841,114361.18,1.00,24.40,13.20,-0.40,-2.13%
CKP,2022-05-11,5.45,5.45,5.50,5.35,5.45,11788223,63889.56,1.00,7.05,3.82,0.00,0.00%
COM7,2022-05-11,38.00,38.00,38.00,35.50,36.00,23046784,838369.08,0.25,49.25,26.75,-2.00,-5.26%
COTTO,2022-05-11,2.14,2.14,2.16,2.10,2.12,4864769,10358.61,1.00,2.78,1.50,-0.02,-0.93%
CPALL,2022-05-11,64.50,64.25,64.50,63.50,63.50,14139469,902345.49,1.00,83.75,45.25,-1.00,-1.55%
CPF,2022-05-11,23.80,23.60,23.90,23.60,23.80,18604989,441190.05,1.00,30.75,16.70,0.00,0.00%
