GLOBAL,2022-01-05,2022-01-06,20.1,19.90,-1.0,16675154,20.2,19.6,B,Insert
IMH,2022-01-04,2022-01-06,12.2,16.00,31.15,21466161,16.8,12.3,B,Update
KCE,2022-01-05,2022-01-06,88.5,84.00,-5.08,31018216,86.25,83.5,B,Insert
NOBLE,2021-12-28,2022-01-06,6.1,6.25,2.46,2613548,6.25,6.1,B,Update
PTT,2022-01-05,2022-01-06,39.0,38.00,-2.56,71681990,38.75,38.0,B,Insert
RATCH,2022-01-05,2022-01-06,45.25,44.50,-1.66,4616879,45.25,44.5,B,Insert
SIS,2022-01-04,2022-01-06,47.75,43.75,-8.38,1477203,48.25,43.25,B,Update
STA,2022-01-04,2022-01-06,30.0,30.50,1.67,5809235,30.75,29.75,B,Update
TISCO,2022-01-05,2022-01-06,98.75,97.75,-1.01,6883376,98.25,97.0,B,Insert
TSTH,2021-12-30,2022-01-06,1.46,1.50,2.74,28482221,1.53,1.46,B,Update
BGRIM,2022-01-04,2022-01-06,40.5,39.50,-2.47,9798051,40.75,39.5,I,Update
DCC,2021-12-27,2022-01-06,2.82,2.98,5.67,53622979,3.02,2.82,I,Update
DOHOME,2021-12-30,2022-01-06,23.3,22.60,-3.0,7056842,23.4,22.6,I,Update
IVL,2022-01-05,2022-01-06,45.75,45.25,-1.09,35242406,45.5,44.75,I,Insert
KBANK,2022-01-05,2022-01-06,146.0,142.50,-2.4,35340229,144.5,141.5,I,Insert
RJH,2022-01-05,2022-01-06,33.0,33.50,1.52,2316584,34.0,32.75,I,Insert
SAT,2021-12-27,2022-01-06,21.2,23.80,12.26,5371641,23.9,21.1,I,Update
TOP,2022-01-05,2022-01-06,52.0,51.50,-0.96,12401955,52.0,51.0,I,Insert
WHART,2021-12-28,2022-01-06,12.8,12.20,-4.69,2725315,12.8,12.1,I,Update
BGC,2022-01-04,2022-01-06,10.7,10.50,-1.87,759777,10.7,10.5,O,Update
ROJNA,2022-01-05,2022-01-06,6.75,6.65,-1.48,2187000,6.7,6.6,O,Insert
TCAP,2022-01-05,2022-01-06,39.25,38.75,-1.27,9419447,39.25,38.25,O,Insert
TVO,2021-12-27,2022-01-06,30.0,31.00,3.33,1654282,31.25,30.0,O,Update
