name,qtr,shares,dividend,net,xd_date,pay_date
DTAC,฿2.1200,9000,"฿19,080.00","฿17,172.00",2021-02-11,2021-04-20
ADVANC,฿3.6800,600,"฿2,208.00","฿1,987.20",2021-02-19,2021-04-20
DIF,฿0.2610,80000,"฿20,880.00","฿20,880.00",2021-02-23,2021-03-12
JASIF,฿0.2500,130000,"฿32,500.00","฿32,500.00",2021-02-24,2021-03-15
SCCC,฿9.0000,600,"฿5,400.00","฿4,860.00",2021-02-24,2021-05-04
GVREIT,฿0.2037,18000,"฿3,666.60","฿3,299.94",2021-02-25,2021-03-10
MC,฿0.3500,10000,"฿3,500.00","฿3,150.00",2021-02-25,2021-03-11
PTTGC,฿1.0000,2000,"฿2,000.00","฿1,800.00",2021-02-25,2021-04-23
CPTGF,฿0.1800,10000,"฿1,800.00","฿1,620.00",2021-03-01,2021-04-23
EGATIF,฿0.2000,10000,"฿2,000.00","฿2,000.00",2021-03-01,2021-03-17
HREIT,฿0.0860,30000,"฿2,580.00","฿2,322.00",2021-03-01,2021-03-30
TTLPF,฿0.4300,11100,"฿4,773.00","฿4,295.70",2021-03-01,2021-03-17
RATCH,฿1.2500,6000,"฿7,500.00","฿6,750.00",2021-03-02,2021-04-23
WHART,฿0.1195,10000,"฿1,195.00","฿1,075.50",2021-03-04,2021-03-22
TU,฿0.4000,21000,"฿8,400.00","฿7,770.00",2021-03-08,2021-04-21
UTP,฿0.3900,6000,"฿2,340.00","฿2,106.00",2021-03-08,2021-05-25
EGCO,฿3.5000,900,"฿3,150.00","฿2,835.00",2021-03-09,2021-04-27
FSMART,฿0.3000,18000,"฿5,400.00","฿4,860.00",2021-03-09,2021-04-29
TIP,฿1.3000,3000,"฿3,900.00","฿3,510.00",2021-03-11,2021-05-19
TPIPP,฿0.1500,60000,"฿9,000.00","฿9,000.00",2021-03-12,2021-05-07
TVO,฿0.8000,6000,"฿4,800.00","฿4,320.00",2021-03-12,2021-05-14
MCS,฿0.6000,75000,"฿45,000.00","฿43,050.00",2021-03-15,2021-04-28
PDG,฿0.2200,25000,"฿5,500.00","฿4,950.00",2021-03-15,2021-05-20
SMPC,฿0.4300,20000,"฿8,600.00","฿7,740.00",2021-04-04,2021-04-30
DCC,฿0.0440,40000,"฿1,760.00","฿1,584.00",2021-04-05,2021-04-27
GC,฿0.4000,15000,"฿6,000.00","฿5,400.00",2021-04-16,2021-04-30
BGC,฿0.1200,10000,"฿1,200.00","฿1,200.00",2021-04-21,2021-05-07
MBAX,฿0.5600,12000,"฿6,720.00","฿6,048.00",2021-04-21,2021-05-07
AMATA,฿0.2000,12000,"฿2,400.00","฿2,160.00",2021-04-22,2021-05-07
TISCO,฿6.3000,2000,"฿12,600.00","฿11,340.00",2021-04-28,2021-05-17
ASIAN,฿0.5500,10000,"฿5,500.00","฿4,450.00",2021-04-29,2021-05-17
PRM,฿0.1800,33000,"฿5,940.00","฿5,398.80",2021-04-30,2021-05-20
TCAP,฿1.8000,3000,"฿5,400.00","฿4,860.00",2021-04-30,2021-05-21
GUNKUL,฿0.1820,30000,"฿5,460.00","฿4,914.00",2021-05-06,2021-05-24
IVL,฿0.1750,10000,"฿1,750.00","฿1,575.00",2021-05-06,2021-05-20
LH,฿0.3000,42000,"฿12,600.00","฿11,340.00",2021-05-06,2021-05-21
ORI,฿0.3900,50000,"฿19,500.00","฿17,550.00",2021-05-07,2021-05-18
ROJNA,฿0.2000,20000,"฿4,000.00","฿3,600.00",2021-05-07,2021-05-25
NOBLE,฿0.5000,12000,"฿6,000.00","฿5,400.00",2021-05-10,2021-05-27
SENA,฿0.1850,60000,"฿11,100.00","฿10,043.96",2021-05-11,2021-05-21
CPF,฿0.6000,10000,"฿6,000.00","฿5,400.00",2021-05-17,2021-05-28
,,,"฿319,102.60","฿296,117.10",,
