name,pct,price_x,price_y,status,diff
NER,-3.03,6.4,6.6,I,-0.2
SIS,-3.51,27.5,28.5,I,-1.0
KCE,-3.89,61.75,64.25,I,-2.5
TOP,-5.73,53.5,56.75,I,-3.25
BCPG,-3.36,11.5,11.9,O,-0.4
IVL,-3.41,49.5,51.25,O,-1.75
STA,-3.54,21.8,22.6,O,-0.8
ASK,-5.13,37.0,39.0,O,-2.0
PTTGC,-4.23,45.25,47.25,U,-2.0
DOHOME,-4.32,17.7,18.5,U,-0.8
SYNEX,-5.94,19.0,20.2,U,-1.2
SPRC,-3.08,12.6,13.0,X,-0.4
SCB,-3.14,108.0,111.5,X,-3.5
ESSO,-3.28,11.8,12.2,X,-0.4
AP,-3.85,10.0,10.4,X,-0.4
SMPC,-3.95,14.6,15.2,X,-0.6
RBF,-4.43,15.1,15.8,X,-0.7
AIT,-5.26,6.3,6.65,X,-0.35
