name,shares,unit_cost,cost_amt,dividend,div_amt,cost_pct,period
RCL,18000,42.75,769500.0,6.25,112500.0,14.62,2
JASIF,130000,10.0,1300000.0,0.93,120900.0,9.3,2
TMT,48000,9.9,475200.0,0.85,40800.0,8.59,2
GVREIT,20000,8.9,178000.0,0.764,15280.0,8.58,2
SENA,105000,4.48,470400.0,0.3384,35532.0,7.55,2
WHAIR,40000,8.95,358000.0,0.6588,26352.0,7.36,4
ASP,30000,3.8,114000.0,0.27,8100.0,7.11,1
DIF,40000,14.7,588000.0,1.041,41640.0,7.08,2
BCH,15000,21.46,321900.0,1.4,21000.0,6.52,2
WHART,30000,11.7,351000.0,0.7583,22749.0,6.48,2
ORI,45000,11.0,495000.0,0.67,30150.0,6.09,3
VNG,15000,6.7,100500.0,0.4,6000.0,5.97,2
DCC,60000,2.96,177600.0,0.175,10500.0,5.91,2
NER,27000,7.45,201150.0,0.43,11610.0,5.77,3
MCS,75000,15.4,1155000.0,0.87,65250.0,5.65,1
SCCC,1200,171.0,205200.0,9.0,10800.0,5.26,4
STA,20000,34.75,695000.0,1.65,33000.0,4.75,1
CPNREIT,10000,19.2,192000.0,0.9059,9059.0,4.72,2
PTTGC,9000,61.25,551250.0,2.5,22500.0,4.08,1
IVL,2400,44.0,105600.0,1.3,3120.0,2.95,3
KCE,14000,72.75,1018500.0,2.0,28000.0,2.75,3
SCC,600,405.0,243000.0,9.9999,5999.94,2.47,4
SYNEX,15000,28.7,430500.0,0.7,10500.0,2.44,3
MAKRO,7500,40.4,303000.0,0.5,3750.0,1.24,3
DOHOME,7200,20.25,145800.0,0.0,0.0,0.0,4
