name,fm_date,to_date,days,fm_price,to_price,chg,chg%,max_price,min_price,status,market
SYNEX,2021-12-30,2022-01-10,11,36.5,32.25,-4.25,-11,35.75,31.5,I,SET100 / SETTHSI
BCH,2022-01-06,2022-01-10,4,20.9,19.9,-1.0,-4,21.0,20.1,I,SET100 / SETWB
WHART,2021-12-28,2022-01-10,13,12.8,12.2,-0.6,-4,12.8,12.1,I,SET
BGRIM,2021-12-30,2022-01-10,11,40.5,39.0,-1.5,-3,40.75,39.0,I,SET50 / SETCLMV / SETTHSI
KCE,2022-01-04,2022-01-10,6,88.5,85.0,-3.5,-3,86.25,83.5,B,SET50
GLOBAL,2022-01-06,2022-01-10,4,19.9,20.5,0.6,3,21.3,19.8,I,SET50 / SETCLMV / SETWB
STA,2022-01-04,2022-01-10,6,30.0,31.5,1.5,5,32.0,29.75,B,SET50 / SETTHSI / SETWB
TVO,2021-12-27,2022-01-10,14,30.0,31.75,1.75,5,32.0,30.0,O,SET100 / SETHD / SETTHSI / SETWB
TU,2021-12-30,2022-01-10,11,19.5,20.7,1.2,6,20.8,19.6,I,SET50 / SETCLMV / SETHD / SETTHSI / SETWB
IMH,2022-01-04,2022-01-10,6,12.2,19.7,7.5,61,19.9,12.3,I,mai
