trade,name,qty,price,active,reason,market,xdate
B,AP,10000,10.0,1,XXX,SET100,2022-05-10
B,ASK,3000,40.0,1,XXX,SET,2022-03-03
B,BANPU,12000,11.5,1,XXX,SET50,2022-04-11
B,BBL,2400,124.0,0,1L,SET50,2022-04-22
B,BCH,3000,18.5,1,RD10pct,SET100,2022-05-10
B,BDMS,4500,26.0,2,1L,SET50,2022-03-09
B,DIF,10000,13.5,1,DOS,SET,2022-05-17
B,IVL,3000,45.0,2,RD05pct,SET50,2022-05-31
B,KBANK,1500,140.0,0,5pct,SET50,2022-04-18
B,KKP,3000,68.0,0,3L,SET100,2022-04-28
B,WHART,10000,10.4,2,DOS,SET,2022-06-01
S,DOHOME,2400,20.3,0,C20.25,SET100,2022-02-02
S,IP,7500,20.8,2,CP1S,mai,2022-02-02
S,JASIF,10000,12.0,0,C10.10,SET,2022-05-24
S,MAKRO,1500,40.5,0,C40.40,SET,2022-03-03
S,NER,9000,7.5,0,CP1S,SET,2022-04-19
S,STA,2400,29.5,0,CUT,SET100,2022-04-19
