id,date,pooped,hour,grade,snack_id,food_id
2,2022-10-11,f,12,1,2,1
3,2022-10-12,t,21,1,2,1
4,2022-10-13,t,12,1,2,1
5,2022-10-14,t,14,2,1,1
6,2022-10-15,t,15,1,2,3
7,2022-10-15,t,16,3,2,4
8,2022-10-16,t,16,2,2,1
9,2022-10-17,f,12,1,2,5
10,2022-10-18,f,12,1,2,6
11,2022-10-19,t,11,1,3,7
12,2022-10-20,t,23,1,4,8
13,2022-10-21,f,12,1,2,9
14,2022-10-22,f,12,1,2,10
15,2022-10-23,t,8,1,2,10
16,2022-10-23,t,19,1,2,10
17,2022-10-24,t,15,1,2,10
18,2022-10-25,t,10,1,2,2
19,2022-10-26,t,13,1,2,1
20,2022-10-27,t,10,1,2,10
21,2022-10-28,t,16,1,2,3
22,2022-10-29,f,12,1,2,3
23,2022-10-30,t,16,1,2,11
24,2022-10-31,t,8,2,2,3
25,2022-11-01,f,12,1,2,12
26,2022-11-02,t,8,2,2,10
27,2022-11-03,f,12,1,2,1
28,2022-11-04,t,23,2,2,3
29,2022-11-05,t,13,2,2,6
