2S,2022-04-29,5.05,5.15,5.05,262269,5.10
AAV,2022-04-29,2.84,2.90,2.84,11150429,2.90
ACE,2022-04-29,3.12,3.14,3.06,11440098,3.10
ADVANC,2022-04-29,215.00,219.00,214.00,8744346,218.00
AEONTS,2022-04-29,192.50,193.50,190.50,1580625,191.00
AH,2022-04-29,23.40,23.60,23.40,514153,23.40
AIE,2022-04-29,4.28,4.50,4.04,29126926,4.04
AIMIRT,2022-04-29,12.80,12.80,12.70,24200,12.70
AIT,2022-04-29,7.05,7.25,7.05,12065570,7.05
AJ,2022-04-29,17.00,17.00,16.80,216837,16.80
AKR,2022-04-29,1.02,1.03,1.02,2236250,1.02
ALUCON,2022-04-29,209.00,209.00,207.00,2612,207.00
AMANAH,2022-04-29,5.65,5.80,5.60,4382209,5.65
AMARIN,2022-04-29,6.15,6.20,6.10,30101,6.15
AMATA,2022-04-29,21.80,22.00,21.70,3757129,21.80
AMC,2022-04-29,5.30,5.30,5.15,1301705,5.20
ANAN,2022-04-29,1.27,1.27,1.25,1908111,1.26
AOT,2022-04-29,66.75,67.50,66.50,23255522,67.25
AP,2022-04-29,11.80,12.00,11.60,9200845,11.80
APCS,2022-04-29,5.90,5.90,5.70,1683300,5.90
APURE,2022-04-29,6.20,6.75,6.15,20510192,6.60
ARROW,2022-04-29,8.35,8.35,8.25,79935,8.35
ASIAN,2022-04-29,16.60,16.70,16.40,4523325,16.50
ASK,2022-04-29,43.50,43.50,42.00,1365072,43.00
ASP,2022-04-29,3.38,3.38,3.34,1691235,3.34
ASW,2022-04-29,8.35,8.35,8.25,1192401,8.30
AWC,2022-04-29,4.84,4.92,4.84,32821335,4.86
AYUD,2022-04-29,44.50,44.50,44.25,3915,44.50
BA,2022-04-29,11.20,11.50,11.10,3462069,11.50
BAM,2022-04-29,19.20,19.80,19.10,38177834,19.50
BANPU,2022-04-29,12.30,12.40,12.10,194958494,12.40
BAY,2022-04-29,34.25,35.00,34.25,529544,34.50
BBL,2022-04-29,130.50,131.50,130.00,7233478,131.00
BCH,2022-04-29,21.50,22.00,21.30,28220014,21.90
BCP,2022-04-29,33.50,33.75,32.75,8642967,33.00
BCPG,2022-04-29,12.30,12.60,12.30,3995370,12.40
BCT,2022-04-29,50.00,50.50,49.50,11001,50.50
BDMS,2022-04-29,25.75,26.50,25.50,39363217,26.25
BEAUTY,2022-04-29,1.47,1.48,1.46,3031700,1.47
BEC,2022-04-29,15.50,15.50,15.20,3336435,15.40
BEM,2022-04-29,8.25,8.30,8.25,16718372,8.25
BEYOND,2022-04-29,12.60,12.80,12.30,179217,12.50
BFIT,2022-04-29,31.00,31.25,29.00,4497166,29.75
BGC,2022-04-29,10.00,10.10,10.00,105256,10.00
BGRIM,2022-04-29,32.50,32.75,32.25,4554789,32.25
BH,2022-04-29,160.50,166.00,158.50,6825900,166.00
BJC,2022-04-29,34.25,34.75,34.00,2197414,34.25
BKI,2022-04-29,273.00,274.00,272.00,35209,272.00
BLA,2022-04-29,44.00,44.00,42.75,4925264,43.25
BLAND,2022-04-29,1.00,1.00,0.99,4482431,1.00
BPP,2022-04-29,16.30,16.40,16.20,1057239,16.40
BRR,2022-04-29,5.60,5.65,5.25,1875296,5.35
BSBM,2022-04-29,1.34,1.35,1.34,327100,1.35
BTS,2022-04-29,9.00,9.05,8.95,22391205,8.95
BTSGIF,2022-04-29,4.30,4.32,4.26,3917565,4.28
CBG,2022-04-29,109.50,110.00,109.00,3015563,109.50
