name,shares,unit_cost,dividend,mkt_price,period,cost_amt,mkt_amt,div_amt,cost_pct,mkt_pct,pft_pct,div_rnk,amt_rnk
RCL,15000,45.75,6.25,34.25,2,686250.0,513750.0,93750.0,13.66,18.25,-25.14,1.0,3.0
JASIF,130000,10.0,0.93,8.75,2,1300000.0,1137500.0,120900.0,9.3,10.63,-12.5,2.0,1.0
TMT,48000,9.9,0.85,8.15,2,475200.0,391200.0,40800.0,8.59,10.43,-17.68,3.0,6.0
GVREIT,10000,9.15,0.764,9.15,2,91500.0,91500.0,7640.0,8.35,8.35,0.0,4.0,12.0
SENA,105000,4.48,0.3384,4.12,2,470400.0,432600.0,35532.0,7.55,8.21,-8.04,5.0,4.0
DIF,40000,14.7,1.042,13.6,2,588000.0,544000.0,41680.0,7.09,7.66,-7.48,6.0,2.0
BCH,21000,20.9,1.4,19.1,2,438900.0,401100.0,29400.0,6.7,7.33,-8.61,7.0,5.0
WHART,30000,11.7,0.7583,10.9,2,351000.0,327000.0,22749.0,6.48,6.96,-6.84,8.0,7.0
DCC,60000,2.96,0.175,2.74,2,177600.0,164400.0,10500.0,5.91,6.39,-7.43,9.0,8.0
VNG,15000,6.7,0.4,6.65,2,100500.0,99750.0,6000.0,5.97,6.02,-0.75,10.0,10.0
TPIPL,60000,1.7,0.09,1.69,2,102000.0,101400.0,5400.0,5.29,5.33,-0.59,11.0,9.0
CPNREIT,5000,19.4,0.7873,19.5,2,97000.0,97500.0,3936.5,4.06,4.04,0.52,12.0,11.0
