name,spd,target,sh,qty,available_qty,cost,fm_price,to_price,ttl,max,max52,css_price,status,period,amount
DIF,1,14.3,0,10000,60000,14.7,14.5,14.2,-3,14.3,14.5,15.2,I,2,143000.0
PTT,3,41.25,0,3000,9000,38.5,40.25,40.5,1,41.25,42.5,45.83,I,3,123750.0
CKP,5,5.25,0,10000,20000,5.0,5.2,5.0,-4,5.1,6.3,6.5,I,3,52500.0
GLOBAL,5,20.4,0,7500,15000,19.4,20.3,19.8,-5,20.0,24.7,26.45,I,3,153000.0
TSE,7,2.62,0,40000,40000,2.6,2.52,2.48,-2,2.5,3.7,3.43,I,3,104800.0
IVL,7,52.5,12,1200,4800,42.0,51.5,50.75,-3,51.75,52.0,58.49,I,3,63000.0
TU,8,21.8,12,6000,18000,20.8,21.4,21.0,-4,21.2,23.0,25.75,I,3,130800.0
WHART,9,12.8,0,10000,10000,12.5,12.0,11.9,-1,12.0,14.08,14.9,I,4,128000.0
IP,11,21.2,0,2500,7500,20.2,22.5,20.1,-24,20.5,24.47,22.2,I,3,53000.0
TSTH,11,1.52,0,75000,75000,1.5,1.44,1.41,-3,1.43,2.44,1.5,I,4,114000.0
NER,13,7.8,0,9000,27000,7.45,7.2,7.15,-1,7.2,8.65,10.35,I,3,70200.0
RCL,14,44.75,0,1500,4500,44.5,45.5,41.25,-17,43.5,67.75,41.75,I,3,67125.0
