name,sts,fm_date,days,fm_price,to_price,chg,chg%,up%,ttl%,target,min_price,buy,hold,sell
RJH,I,2022-01-19,6,32.75,32.5,-0.25,0,12,12,36.5,32.5,0,3,0
IVL,I,2022-01-19,6,48.5,47.5,-1.0,-2,17,15,55.95,45.5,10,2,0
LPF,I,2022-01-13,12,14.0,13.3,-0.7,-5,24,19,16.5,13.5,1,0,0
WHART,I,2022-01-11,14,12.1,12.2,0.1,0,19,19,14.6,12.1,1,0,0
TSE,I,2022-01-17,8,2.68,2.58,-0.1,-3,32,29,3.43,2.56,1,0,0
EPG,I,2022-01-13,12,12.3,10.6,-1.7,-13,43,30,15.21,10.5,9,0,0
GLOBAL,I,2022-01-13,12,20.8,19.3,-1.5,-7,38,31,26.78,19.8,7,2,0
CKP,I,2022-01-20,5,4.98,4.94,-0.04,0,31,31,6.5,4.92,1,0,0
NER,I,2022-01-13,12,7.65,7.1,-0.55,-7,59,52,11.35,7.1,2,0,0
IP,I,2022-01-14,11,18.8,20.8,2.0,10,42,52,29.7,18.8,1,0,0
IMH,I,2022-01-20,5,18.4,18.3,-0.1,0,53,53,28.02,18.2,3,0,0
