name,date,pe,yield,eps,div,pbv,dividend,market_cap,shares,max_price,min_price,NVDR
ACE,2022-06-10,19.27,0.72,0.03,0.02,2.07,N/A,28289.28,10175999960,4.60,2.74,23900
ADVANC,2022-06-10,23.27,3.70,2.12,4.24,8.18,N/A,618635.63,2974209736,242.00,169.00,448700
AEONTS,2022-06-10,12.98,2.79,14.21,2.65,2.32,N/A,46125.00,250000000,209.00,168.00,-15000
AH,2022-06-10,8.31,3.95,1.13,0.47,0.94,N/A,8445.24,354842012,28.50,19.80,309900
AIE,2022-06-10,11.99,6.31,0.09,0.25,2.11,N/A,5185.96,1316234487,6.88,3.62,-600
AIMIRT,2022-06-10,0,6.21,0.00,0.2215,1.01,N/A,7264.87,595480769,13.40,11.90,N/A
AIT,2022-06-10,11.99,6.62,0.16,0.30,2.13,N/A,6860.17,1031604485,9.80,4.24,-383800
AJ,2022-06-10,15.43,3.96,0.32,0.25,1.47,N/A,7216.00,440000000,23.00,15.60,-32400
AMATA,2022-06-10,12.93,2.01,0.48,0.30,1.25,N/A,22885.00,1150000000,23.00,17.10,294000
ANAN,2022-06-10,0,N/,-0.10,0.00,0.37,N/A,5499.45,4166249997,2.34,1.11,283000
AOT,2022-06-10,0,N/,-0.53,0.00,9.38,N/A,982141.88,14285700000,70.75,55.50,4970500
AP,2022-06-10,6.72,4.81,0.55,0.50,0.96,N/A,32717.35,3145899495,12.00,7.45,114200
ASIAN,2022-06-10,12.39,3.96,0.31,0.40,3.11,N/A,13351.04,814087559,22.90,14.30,-5600
ASK,2022-06-10,16.11,2.92,0.67,1.14,2.14,N/A,20585.89,527843460,49.50,30.50,-16600
ASP,2022-06-10,8.75,12.42,0.07,0.20,1.32,N/A,6780.21,2105656044,4.20,3.06,606500
ASW,2022-06-10,8.09,5.18,0.26,0.40,1.37,N/A,6934.58,856121119,9.40,7.73,-27500
AWC,2022-06-10,75.26,0.22,0.02,0.01076,1.98,N/A,158083.81,32000770700,5.20,3.60,-988700
BA,2022-06-10,0,N/,-0.49,0.00,1.60,N/A,22680.00,2100000000,13.00,8.15,113000
BAM,2022-06-10,22.68,2.94,0.10,0.55,1.40,N/A,60439.19,3232042300,22.30,15.80,65200
BANPU,2022-06-10,4.73,3.08,1.52,0.25,1.03,N/A,87959.41,6766108686,14.90,9.65,14690400
BAY,2022-06-10,6.89,2.62,1.01,0.45,0.74,N/A,239062.26,7355761773,39.25,27.25,-40900
BBL,2022-06-10,9.61,2.60,3.73,2.50,0.52,N/A,256739.37,1908842894,149.00,100.00,-983000
BCH,2022-06-10,5.57,6.28,0.81,1.00,3.18,N/A,47630.59,2493747984,26.75,17.70,2334100
BCP,2022-06-10,4.80,5.84,3.12,1.00,0.80,N/A,47159.62,1376923157,35.25,22.60,3004300
BCPG,2022-06-10,12.08,2.69,0.47,0.17,1.20,N/A,34439.76,2894097147,15.40,11.10,146200
BCT,2022-06-10,3.55,3.25,14.29,1.65,0.61,N/A,15225.00,300000000,59.00,43.00,500
BDMS,2022-06-10,39.25,1.81,0.22,0.20,4.51,N/A,394121.65,15892001895,27.75,21.50,1957800
