name,date,volbuy,cost_amount,market_value,period
PTTGC,2021-03-17,4400.0,293700.0,258500.0,1
DIF,2019-07-24,60000.0,882000.0,834000.0,2
HREIT,2021-10-11,30000.0,268500.0,271500.0,2
JASIF,2018-05-17,100000.0,1000000.0,1030000.0,2
MCS,2016-09-20,60000.0,1002000.0,888000.0,2
NOBLE,2021-05-05,63000.0,441000.0,387450.0,2
RATCH,2021-06-28,9000.0,411750.0,405000.0,2
STA,2021-06-15,20000.0,695000.0,620000.0,2
TISCO,2021-03-23,2000.0,195000.0,192000.0,2
TMT,2021-08-16,27000.0,283500.0,278100.0,2
BCH,2021-09-07,15000.0,319500.0,301500.0,3
CKP,2021-11-30,30000.0,150000.0,150000.0,3
DOHOME,2021-08-20,8000.0,200000.0,186400.0,3
EPG,2021-06-23,14000.0,156800.0,156800.0,3
GLOBAL,2021-11-25,7500.0,150000.0,150000.0,3
IMH,2021-12-08,6000.0,66000.0,75600.0,3
IP,2021-11-09,7500.0,154500.0,146250.0,3
KCE,2021-08-11,4000.0,348000.0,352000.0,3
PTT,2021-09-28,9000.0,346500.0,342000.0,3
RCL,2021-11-08,4500.0,193500.0,221625.0,3
SIS,2021-05-14,1500.0,56250.0,66000.0,3
TSTH,2021-11-30,75000.0,112500.0,109500.0,3
TYCN,2021-11-05,40000.0,152000.0,143200.0,3
BGRIM,2021-09-17,9000.0,360000.0,364500.0,4
DCC,2021-09-14,40000.0,116000.0,113600.0,4
IVL,2021-03-18,18000.0,756000.0,778500.0,4
KBANK,2021-11-29,2400.0,327600.0,340800.0,4
NER,2021-09-01,36000.0,268200.0,252000.0,4
RJH,2021-11-09,4500.0,148500.0,147375.0,4
SAT,2021-07-20,7500.0,158250.0,163500.0,4
SCC,2021-09-20,600.0,243000.0,231600.0,4
TOP,2021-11-26,3000.0,150000.0,148500.0,4
TU,2021-08-19,18000.0,374400.0,351000.0,4
