name,date,volbuy,cost_amount,market_value,period
ASP,2022-03-07,30000.0,114000.0,92400.0,1
MCS,2016-09-20,75000.0,1155000.0,772500.0,1
PTTGC,2021-03-17,12000.0,705000.0,570000.0,1
STA,2021-06-15,22500.0,759375.0,508500.0,1
BCH,2021-09-07,21000.0,438900.0,392700.0,2
CPNREIT,2022-08-16,5000.0,97000.0,97000.0,2
DCC,2022-05-05,60000.0,177600.0,162000.0,2
DIF,2020-08-01,40000.0,588000.0,540000.0,2
GVREIT,2022-08-24,10000.0,91500.0,89500.0,2
JASIF,2018-05-17,130000.0,1300000.0,1137500.0,2
RCL,2021-11-08,15000.0,686250.0,487500.0,2
SENA,2022-03-29,105000.0,470400.0,415800.0,2
TMT,2021-08-16,48000.0,475200.0,386400.0,2
TPIPL,2022-03-07,60000.0,102000.0,102000.0,2
VNG,2022-08-15,15000.0,100500.0,97500.0,2
WHART,2022-01-05,30000.0,351000.0,327000.0,2
IVL,2022-08-29,2400.0,105600.0,103800.0,3
KCE,2021-10-07,15000.0,1076250.0,813750.0,3
MAKRO,2022-02-24,7500.0,303000.0,258750.0,3
NER,2021-09-01,27000.0,201150.0,157950.0,3
ORI,2022-04-07,45000.0,495000.0,463500.0,3
SYNEX,2022-01-07,18000.0,504000.0,374400.0,3
DOHOME,2021-08-20,7200.0,145800.0,109440.0,4
SCC,2021-09-20,900.0,358200.0,322200.0,4
SCCC,2022-02-23,1200.0,205200.0,190200.0,4
WHAIR,2021-10-11,40000.0,358000.0,298000.0,4
