EPG,B,SET100
GLOBAL,B,SET50
NOBLE,B,SET
PTT,B,SET50
PTTGC,B,SET50
RATCH,B,SET50
RCL,B,SET100
SCC,B,SET50
STA,B,SET100
SYNEX,B,SET100
CKP,I,SET100
CPNCG,I,SET
IP,I,mai
IVL,I,SET50
NER,I,SET
TOP,I,SET50
TSE,I,SET
TSTH,I,SET
TU,I,SET50
WHART,I,SET
ASP,O,SET
BGC,O,SET
KKP,O,SET100
MEGA,O,SET100
PTTEP,O,SET50
ROJNA,O,SET
SINGER,O,SET100
SPALI,O,SET100
TQM,O,SET100
TVO,O,SET100
DIF,T,SET
HREIT,T,SET
JASIF,T,SET
LPF,T,SET
MCS,T,SET
TISCO,T,SET50
TMT,T,SET
BCH,U,SET100
BGRIM,U,SET50
DOHOME,U,SET100
IMH,U,mai
KCE,U,SET50
RJH,U,SET
SIS,U,SET
TYCN,U,SET
ASK,X,SET
BBL,X,SET50
BLA,X,SET100
GULF,X,SET50
JMT,X,SET100
KBANK,X,SET50
KEX,X,SET100
KTC,X,SET50
SAT,X,SET
SCB,X,SET50
SMT,X,SET
STARK,X,SET100
SVI,X,SET
TCAP,X,SET100
TKS,X,SET
