name,market,price,max_price,min_price,pe,pbv,paid_up,market_cap,daily_volume,beta,ticker_id,created_at,updated_at
ACE,SET100,2.82,4.6,2.74,19.55,2.1,999.99,28696.32,13927.92,0.03,667,2022-05-27,2022-05-27
ADVANC,SET50 / SETHD / SETTHSI,218.0,242.0,168.0,24.38,8.57,999.99,648315.82,1827216.23,2.12,8,2022-05-27,2022-05-27
AEONTS,SET100,188.5,209.0,168.0,13.26,2.37,999.99,47125.0,154247.76,14.21,9,2022-05-27,2022-05-27
AH,sSET / SETTHSI,23.0,28.5,19.8,8.04,0.91,999.99,8161.37,13863.28,1.13,11,2022-05-27,2022-05-27
AIE,sSET,3.86,6.88,3.62,11.75,2.06,999.99,5080.67,3438.03,0.09,691,2022-05-27,2022-05-27
AIMIRT,SET,12.4,13.4,11.9,0.0,1.02,999.99,7383.96,2132.14,0.0,13,2022-05-27,2022-05-27
AIT,sSET,6.9,9.8,4.24,12.44,2.21,999.99,7118.07,45443.18,0.16,14,2022-05-27,2022-05-27
AJ,sSET / SETCLMV,16.6,23.0,15.6,15.62,1.49,999.99,7304.0,4992.66,0.32,15,2022-05-27,2022-05-27
ALUCON,SET,193.0,220.0,167.0,12.97,1.3,999.99,8337.6,212.4,3.1,20,2022-05-27,2022-05-27
AMATA,SET100 / SETCLMV / SETTHSI,19.5,23.0,17.1,12.67,1.22,999.99,22425.0,137329.21,0.48,24,2022-05-27,2022-05-27
ANAN,sSET,1.28,2.4,1.11,0.0,0.36,999.99,5332.8,8670.79,-0.1,27,2022-05-27,2022-05-27
AOT,SET50 / SETTHSI / SETWB,69.0,70.0,55.5,0.0,9.41,999.99,985713.3,2519662.52,-0.53,28,2022-05-27,2022-05-27
AP,SET100 / SETHD,11.1,12.0,7.45,7.17,1.02,999.99,34919.48,259051.85,0.55,29,2022-05-27,2022-05-27
ASIAN,sSET / SETTHSI,16.6,22.9,13.9,12.54,3.15,999.99,13513.85,58023.83,0.31,40,2022-05-27,2022-05-27
ASK,SET,41.5,49.5,30.5,17.15,2.27,999.99,21905.5,31836.67,0.67,42,2022-05-27,2022-05-27
ASP,sSET,3.2,4.24,3.06,8.69,1.32,999.99,6738.1,5473.94,0.07,44,2022-05-27,2022-05-27
ASW,sSET,8.1,9.4,7.73,8.09,1.37,999.99,6934.58,9982.17,0.26,705,2022-05-27,2022-05-27
AWC,SET50 / SETTHSI,4.94,5.2,3.6,75.26,1.98,999.99,158083.81,148599.82,0.02,668,2022-05-27,2022-05-27
BA,SETWB,10.5,13.0,7.2,0.0,1.55,999.99,22050.0,51138.12,-0.49,49,2022-05-27,2022-05-27
BAM,SET100,18.5,22.3,15.8,22.44,1.39,999.99,59792.78,131962.83,0.1,680,2022-05-27,2022-05-27
BANPU,SET50 / SETCLMV / SETTHSI,12.1,14.9,9.65,4.41,0.96,999.99,81869.92,560450.4,1.52,51,2022-05-27,2022-05-27
BAY,SET,33.25,39.25,27.25,7.05,0.75,999.99,244579.08,8054.4,1.01,53,2022-05-27,2022-05-27
BBL,SET50 / SETHD / SETTHSI,129.5,149.0,100.0,9.26,0.5,999.99,247195.15,1003823.74,3.73,54,2022-05-27,2022-05-27
