,Video_id,Title,Published_date,Views,Month
0,Iq27Web-ZvQ,Olivia Rodrigo - traitor (Lyrics),2022-03-28,319,Mar
1,FmSR8ZYZvCc,"David Guetta - Hey Mama (Lyrics) ft. Nicki Minaj, Bebe Rexha",2022-03-28,541,Mar
2,cb7z3Xx2z_0,"Dan + Shay, Justin Bieber - 10,000 Hours (Lyrics)",2022-03-28,362,Mar
3,q6hOH323Ji4,Alan Walker - Faded (Lyrics),2022-03-28,760,Mar
4,uWmyB7sXBfg,"DJ Snake - Taki Taki (Lyrics) ft. Selena Gomez, Ozuna, Cardi B",2022-03-28,478,Mar
5,GOK5bQIA1Z0,"Post Malone, Swae Lee - Sunflower (Lyrics) (Spider-Man: Into the Spider-Verse)",2022-03-28,633,Mar
6,dGAVGSbh6Jg,Harry Styles - Sign of the Times (Lyrics),2022-03-27,1833,Mar
7,O4OIpygr6Jg,Imagine Dragons - Radioactive (Lyrics),2022-03-27,1483,Mar
8,nyUcCbfiMxg,Dua Lipa - New Rules (Lyrics),2022-03-27,8323,Mar
9,Y7X3K366oi0,Sean Paul - No Lie (Lyrics) ft. Dua Lipa,2022-03-27,17416,Mar
10,xUwMyvHWVhc,"Imagine Dragons, JID - Enemy (Lyrics)",2022-03-27,2037,Mar
11,ZrB19UGKaxI,Bebe Rexha - The Way I Are (Dance With Somebody) (Lyrics) ft. Lil Wayne,2022-03-27,955,Mar
12,NR0t6k0mzwk,Ruth B. - Dandelions (Lyrics),2022-03-27,11601,Mar
13,KBe-2WPJP18,Sia - Cheap Thrills (Lyrics) ft. Sean Paul,2022-03-27,15759,Mar
14,xMBOnyX7yms,LISA - MONEY (Lyrics),2022-03-27,5037,Mar
15,F-QYD242IIA,Justin Bieber - Love Yourself (Lyrics),2022-03-27,10948,Mar
16,5b0Z0rs7NGk,Maroon 5 - Memories (Lyrics),2022-03-27,15263,Mar
17,NNih4YHRrMg,DJ Snake - Let Me Love You (Lyrics) ft. Justin Bieber,2022-03-27,9638,Mar
18,8Z0wFi8NHrc,Fifth Harmony - Work from Home (Lyrics) ft. Ty Dolla $ign,2022-03-26,2542,Mar
19,zNL3GKYEuGM,James Arthur - Impossible (Lyrics),2022-03-26,5718,Mar
20,H2EfSxw7rlM,Alicia Keys - Girl on Fire (Lyrics),2022-03-26,5898,Mar
21,IJ8QfXuLKsk,David Guetta - Titanium (Lyrics) ft. Sia,2022-03-26,42225,Mar
22,LBP6CGrJIy4,The Chainsmokers - Closer (Lyrics) ft. Halsey,2022-03-26,19439,Mar
23,ye7mW8PZUFI,Jaymes Young - Infinity (Lyrics),2022-03-26,12695,Mar
24,TYu5PsFDA_Y,Halsey - Without Me (Lyrics),2022-03-26,7404,Mar
25,TcMFlfQXOns,Clean Bandit - Rockabye (Lyrics) ft. Sean Paul & Anne-Marie,2022-03-26,107928,Mar
26,IPScCwBm_8A,Ellie Goulding - Love Me Like You Do (Lyrics),2022-03-26,17795,Mar
27,-jlIRZqwUVE,Luis Fonsi - Despacito (Letra/Lyrics) ft. Daddy Yankee,2022-03-26,29207,Mar
28,EiDHacW1CIM,Major Lazer & DJ Snake - Lean On (Lyrics) ft. MØ,2022-03-26,18878,Mar
29,1uZ2w38KlFs,Justin Bieber - What Do You Mean? (Lyrics),2022-03-26,10122,Mar
30,06lkTo2m8Wo,"David Guetta - Say My Name (Lyrics) ft. Bebe Rexha, J Balvin",2022-03-26,35467,Mar
31,eCJQ1in0HPE,Coldplay - Hymn For The Weekend (Lyrics),2022-03-26,24713,Mar
32,WOUhp8lI_Wk,Shawn Mendes - Treat You Better (Lyrics),2022-03-26,32428,Mar
33,4-MQDMt5Btg,Lukas Graham - 7 Years (Lyrics),2022-03-26,16360,Mar
34,0ZO6xkcs33Y,Sia - Unstoppable (Lyrics),2022-03-26,58810,Mar
35,6560A4XAYp4,Maroon 5 - Animals (Lyrics),2022-03-26,73287,Mar
36,6Hd902s_c7c,Imagine Dragons - Thunder (Lyrics),2022-03-26,23671,Mar
37,S4uqg2Y7eDU,Alec Benjamin - Let Me Down Slowly (Lyrics),2022-03-25,50473,Mar
38,DTWCgtiNKwk,BoyWithUke - Toxic (Lyrics),2022-03-25,20906,Mar
39,fjMqizsxdg4,Clean Bandit - Symphony (Lyrics) ft. Zara Larsson,2022-03-25,47253,Mar
40,G1aX0p60koE,Sia - Chandelier (Lyrics),2022-03-25,44071,Mar
41,Q1RmR6ElRys,Olivia Rodrigo - happier (Lyrics),2022-03-25,8682,Mar
42,6GmDXaaF9zs,Camila Cabello - Havana (Lyrics) ft. Young Thug,2022-03-25,46581,Mar
43,amvL-qFZGMw,Magic! - Rude (Lyrics),2022-03-25,31253,Mar
44,1bcPQxlj7_I,Lil Nas X - Industry Baby (Lyrics) ft. Jack Harlow,2022-03-25,3014,Mar
45,VrBMQo7OhwM,Gym Class Heroes - Stereo Hearts (Lyrics) ft. Adam Levine,2022-03-25,107223,Mar
46,yNMwXNfVo0Q,Imagine Dragons - Bad Liar (Lyrics),2022-03-25,126365,Mar
47,sBHCCzLqBoA,Beyoncé - Halo (Lyrics),2022-03-25,15519,Mar
48,ghoU7rwENF8,Justin Bieber - Sorry (Lyrics),2022-03-25,25450,Mar
49,sMGCxAwyQuQ,Sean Paul - No Lie (Lyrics) ft. Dua Lipa,2022-03-25,111976,Mar
50,-OfCOVPIi5U,CKay - Love Nwantiti (Lyrics),2022-03-25,10757,Mar
51,xv6BukTAhLY,Charlie Puth - We Don't Talk Anymore (Lyrics) ft. Selena Gomez,2022-03-25,46375,Mar
52,b1x-EHf0-R8,Ed Sheeran - Shape of You (Lyrics),2022-03-25,90081,Mar
53,AYqaLfMq_6Y,Tones and I - Dance Monkey (Lyrics),2022-03-25,38761,Mar
54,mBg4q1kMOm8,Måneskin - Beggin' (Lyrics),2022-03-25,72277,Mar
55,7dOIAQi_tSg,DJ Snake - Let Me Love You (Lyrics) ft. Justin Bieber,2022-03-25,515700,Mar
56,axL4Mct_drg,Ali Gatie - It's You (Lyrics),2022-03-25,198252,Mar
57,AAQ9gN0on_w,Bruno Mars - Talking To The Moon (Lyrics),2022-03-25,132052,Mar
58,y28uKwLAhfk,The Chainsmokers - Don't Let Me Down (Lyrics) ft. Daya,2022-03-25,370270,Mar
59,2iHzc6yyjH4,Charlie Puth - Attention (Lyrics),2022-03-25,269715,Mar
60,7ge0spxsDDI,Maroon 5 - Memories (Lyrics),2022-03-25,393409,Mar
61,wgyl3YetpV0,OneRepublic - Counting Stars (Lyrics),2022-03-25,175741,Mar
62,MIzjp0HKn-4,Justin Bieber - Love Yourself (Lyrics),2022-03-25,330151,Mar
63,wQd3xfsU-_I,"Shawn Mendes, Camila Cabello - Señorita (Lyrics)",2022-03-25,272040,Mar
64,H0y50tzEJMY,Shawn Mendes - Stitches (Lyrics),2022-03-24,150760,Mar
65,tEKZFDR655c,ZAYN ft. Sia - Dusk Till Dawn (Lyrics),2022-03-24,154982,Mar
66,WRTz_4-7kXg,Imagine Dragons - Believer (Lyrics),2022-03-24,19121,Mar
67,riprM6tIsjk,Passenger - Let Her Go (Lyrics),2022-03-24,120060,Mar
68,ClwNS5PHwSg,Maroon 5 - Girls Like You (Lyrics) ft. Cardi B,2022-03-24,62163,Mar
69,OZ7pckOZRRY,Lewis Capaldi - Someone You Loved (Lyrics),2022-03-24,244022,Mar
70,37DI32uxhg4,Ed Sheeran - Perfect (Lyrics),2022-03-24,126688,Mar
71,cSogj_P_6Yw,Imagine Dragons - Demons (Lyrics),2022-03-24,23319,Mar
72,vKnMboH5llo,Taylor Swift - Blank Space (Lyrics),2022-03-24,78803,Mar
73,Y45ZyOiyYN8,Ed Sheeran - Photograph (Lyrics),2022-03-24,157328,Mar
74,Zsnw67HpqiQ,Wiz Khalifa - See You Again (Lyrics) ft. Charlie Puth,2022-03-24,233396,Mar
75,P0oEydy4a8Y,Sia - Cheap Thrills (Lyrics) ft. Sean Paul,2022-03-24,292301,Mar
76,pETBdNwZK6A,GAYLE - abcdefu (Lyrics),2022-03-23,33543,Mar
77,ljQCgYRasHU,CKay - Love Nwantiti (Lyrics),2022-03-23,36204,Mar
78,Jjfa83KTzJc,Clean Bandit - Rockabye (Lyrics) ft. Sean Paul & Anne-Marie,2022-03-23,267757,Mar
79,t_OU8bT-wBk,"The Kid LAROI, Justin Bieber - Stay (Lyrics)",2022-03-23,13981,Mar
80,az0cTGOxzvQ,Ellie Goulding - Love Me Like You Do (Lyrics),2022-03-23,304712,Mar
81,gM-OXracQTE,Sia - Unstoppable (Lyrics),2022-03-23,64740,Mar
82,dV73fD1JMrE,Jaymes Young - Infinity (Lyrics),2022-03-23,102074,Mar
83,YgLW-Nj2H3A,The Chainsmokers - Closer (Lyrics) ft. Halsey,2022-03-23,64874,Mar
84,Zkyac_hjrY4,Ed Sheeran - Perfect (Lyrics),2022-03-22,204347,Mar
85,kwg65dGjiKU,CKay - Love Nwantiti (Lyrics),2022-03-21,52711,Mar
86,CzfpAfwELq4,"Billie Eilish, Khalid - lovely (Lyrics)",2022-03-20,10296,Mar
87,qFOZI4fRpss,Tones and I - Dance Monkey (Lyrics),2022-03-19,55000,Mar
88,zvMJY3b0Z5w,Imagine Dragons - Believer (Lyrics),2022-03-18,57292,Mar
89,afKijnr7BQU,Ed Sheeran - Shape of You (Lyrics),2022-03-17,30768,Mar
90,Fb6QP1_AInw,Shawn Mendes - Señorita (Lyrics) ft. Camila Cabello,2022-03-16,6971,Mar
